YYYY-MM-DD,RISE,TRAN.,SET
2024/3/28,21:14,2:07,7:50
2024/3/29,22:09,2:52,8:26
2024/3/30,23:08,3:40,9:07
2024/3/31,,4:32,9:54
2024/4/1,0:07,5:28,10:48
2024/4/2,1:06,6:26,11:48
2024/4/3,2:02,7:25,12:52
2024/4/4,2:53,8:23,13:58
2024/4/5,3:39,9:19,15:03
2024/4/6,4:21,10:12,16:08
2024/4/7,5:01,11:04,17:12
2024/4/8,5:40,11:55,18:16
2024/4/9,6:18,12:46,19:21
2024/4/10,6:59,13:40,20:26
2024/4/11,7:44,14:36,21:33
2024/4/12,8:33,15:33,22:38
2024/4/13,9:26,16:32,23:40
2024/4/14,10:23,17:30,
2024/4/15,11:21,18:25,0:36
2024/4/16,12:18,19:16,1:25
2024/4/17,13:14,20:03,2:09
2024/4/18,14:07,20:46,2:46
2024/4/19,14:58,21:27,3:20
2024/4/20,15:47,22:06,3:51
2024/4/21,16:36,22:45,4:21
2024/4/22,17:25,23:25,4:50
2024/4/23,18:16,,5:20
2024/4/24,19:08,0:06,5:52
2024/4/25,20:04,0:50,6:27
2024/4/26,21:02,1:37,7:07
2024/4/27,22:01,2:28,7:52
2024/4/28,23:01,3:23,8:44
2024/4/29,23:57,4:21,9:42
2024/4/30,,5:19,10:44
2024/5/1,0:48,6:16,11:47
2024/5/2,1:35,7:11,12:51
2024/5/3,2:17,8:03,13:54
2024/5/4,2:56,8:53,14:56
2024/5/5,3:34,9:43,15:58
2024/5/6,4:11,10:33,17:00
2024/5/7,4:50,11:24,18:05
2024/5/8,5:32,12:19,19:11
2024/5/9,6:19,13:16,20:17
2024/5/10,7:11,14:16,21:22
2024/5/11,8:08,15:15,22:23
2024/5/12,9:07,16:13,23:17
2024/5/13,10:06,17:07,
2024/5/14,11:04,17:56,0:03
2024/5/15,11:59,18:42,0:44
2024/5/16,12:51,19:24,1:20
2024/5/17,13:41,20:04,1:52
2024/5/18,14:30,20:43,2:22
2024/5/19,15:19,21:22,2:51
2024/5/20,16:09,22:02,3:20
2024/5/21,17:01,22:45,3:51
2024/5/22,17:55,23:32,4:26
2024/5/23,18:53,,5:04
2024/5/24,19:54,0:22,5:48
2024/5/25,20:54,1:17,6:39
2024/5/26,21:52,2:15,7:35
2024/5/27,22:46,3:14,8:37
2024/5/28,23:34,4:12,9:41
2024/5/29,,5:07,10:45
2024/5/30,0:17,6:00,11:47
2024/5/31,0:56,6:49,12:48
2024/6/1,1:33,7:37,13:48
2024/6/2,2:09,8:25,14:48
2024/6/3,2:46,9:15,15:50
2024/6/4,3:26,10:06,16:53
2024/6/5,4:09,11:01,17:59
2024/6/6,4:58,11:59,19:04
2024/6/7,5:53,12:59,20:07
2024/6/8,6:51,13:59,21:04
2024/6/9,7:52,14:55,21:55
2024/6/10,8:51,15:47,22:39
2024/6/11,9:48,16:35,23:17
2024/6/12,10:42,17:19,23:50
2024/6/13,11:33,18:00,
2024/6/14,12:23,18:39,0:21
2024/6/15,13:11,19:18,0:51
2024/6/16,14:00,19:58,1:20
2024/6/17,14:51,20:39,1:50
2024/6/18,15:45,21:24,2:23
2024/6/19,16:41,22:13,2:59
2024/6/20,17:41,23:06,3:41
2024/6/21,18:42,,4:29
2024/6/22,19:43,0:04,5:25
2024/6/23,20:39,1:04,6:26
2024/6/24,21:30,2:04,7:31
2024/6/25,22:16,3:02,8:37
2024/6/26,22:56,3:56,9:41
2024/6/27,23:34,4:47,10:43
2024/6/28,,5:35,11:43
2024/6/29,0:10,6:23,12:42
2024/6/30,0:46,7:11,13:42
2024/7/1,1:24,8:01,14:44
2024/7/2,2:05,8:53,15:47
2024/7/3,2:51,9:49,16:51
2024/7/4,3:43,10:47,17:54
2024/7/5,4:39,11:46,18:53
2024/7/6,5:38,12:44,19:46
2024/7/7,6:38,13:38,20:32
2024/7/8,7:37,14:27,21:13
2024/7/9,8:32,15:13,21:48
2024/7/10,9:25,15:55,22:20
2024/7/11,10:15,16:35,22:50
2024/7/12,11:04,17:14,23:19
2024/7/13,11:52,17:53,23:49
2024/7/14,12:42,18:33,
2024/7/15,13:34,19:16,0:20
2024/7/16,14:28,20:03,0:55
2024/7/17,15:26,20:54,1:33
2024/7/18,16:27,21:49,2:18
2024/7/19,17:28,22:49,3:11
2024/7/20,18:27,23:50,4:10
2024/7/21,19:21,,5:15
2024/7/22,20:10,0:50,6:22
2024/7/23,20:53,1:47,7:28
2024/7/24,21:33,2:40,8:33
2024/7/25,22:10,3:31,9:35
2024/7/26,22:47,4:20,10:36
2024/7/27,23:24,5:09,11:37
2024/7/28,,5:58,12:38
2024/7/29,0:04,6:50,13:40
2024/7/30,0:49,7:44,14:44
2024/7/31,1:38,8:41,15:46
2024/8/1,2:32,9:39,16:46
2024/8/2,3:29,10:36,17:40
2024/8/3,4:29,11:30,18:28
2024/8/4,5:27,12:21,19:10
2024/8/5,6:23,13:08,19:47
2024/8/6,7:17,13:51,20:20
2024/8/7,8:08,14:32,20:51
2024/8/8,8:57,15:11,21:20
2024/8/9,9:46,15:50,21:49
2024/8/10,10:35,16:29,22:19
2024/8/11,11:25,17:11,22:52
2024/8/12,12:18,17:55,23:28
2024/8/13,13:13,18:43,
2024/8/14,14:12,19:35,0:09
2024/8/15,15:12,20:32,0:57
2024/8/16,16:11,21:32,1:53
2024/8/17,17:07,22:32,2:54
2024/8/18,17:59,23:31,4:00
2024/8/19,18:45,,5:08
2024/8/20,19:27,0:27,6:15
2024/8/21,20:06,1:20,7:20
2024/8/22,20:44,2:12,8:23
2024/8/23,21:22,3:02,9:26
2024/8/24,22:02,3:52,10:29
2024/8/25,22:46,4:45,11:33
2024/8/26,23:34,5:39,12:37
2024/8/27,,6:36,13:41
2024/8/28,0:27,7:34,14:41
2024/8/29,1:24,8:31,15:37
2024/8/30,2:22,9:26,16:26
2024/8/31,3:21,10:17,17:10
2024/9/1,4:17,11:05,17:48
2024/9/2,5:11,11:49,18:22
2024/9/3,6:03,12:30,18:53
2024/9/4,6:53,13:10,19:22
2024/9/5,7:41,13:49,19:51
2024/9/6,8:30,14:28,20:21
2024/9/7,9:20,15:08,20:52
2024/9/8,10:11,15:51,21:26
2024/9/9,11:05,16:36,22:05
2024/9/10,12:01,17:26,22:49
2024/9/11,12:59,18:20,23:40
2024/9/12,13:57,19:17,
2024/9/13,14:53,20:15,0:37
2024/9/14,15:46,21:14,1:40
2024/9/15,16:34,22:10,2:45
2024/9/16,17:17,23:05,3:52
2024/9/17,17:58,23:57,4:57
2024/9/18,18:37,,6:02
2024/9/19,19:16,0:48,7:07
2024/9/20,19:56,1:40,8:12
2024/9/21,20:40,2:34,9:17
2024/9/22,21:28,3:29,10:24
2024/9/23,22:21,4:27,11:31
2024/9/24,23:17,5:26,12:34
2024/9/25,,6:25,13:33
2024/9/26,0:16,7:22,14:24
2024/9/27,1:15,8:15,15:10
2024/9/28,2:13,9:03,15:49
2024/9/29,3:07,9:48,16:24
2024/9/30,3:59,10:30,16:55
2024/10/1,4:49,11:10,17:25
2024/10/2,5:38,11:48,17:54
2024/10/3,6:26,12:27,18:23
2024/10/4,7:16,13:07,18:54
2024/10/5,8:07,13:49,19:27
2024/10/6,8:59,14:34,20:04
2024/10/7,9:55,15:22,20:46
2024/10/8,10:51,16:13,21:34
2024/10/9,11:49,17:08,22:28
2024/10/10,12:44,18:05,23:27
2024/10/11,13:36,19:01,
2024/10/12,14:24,19:57,0:29
2024/10/13,15:08,20:50,1:33
2024/10/14,15:49,21:42,2:37
2024/10/15,16:28,22:32,3:40
2024/10/16,17:06,23:24,4:44
2024/10/17,17:46,,5:48
2024/10/18,18:28,0:17,6:54
2024/10/19,19:16,1:12,8:02
2024/10/20,20:08,2:11,9:11
2024/10/21,21:05,3:12,10:19
2024/10/22,22:06,4:13,11:22
2024/10/23,23:07,5:13,12:18
2024/10/24,,6:09,13:07
2024/10/25,0:06,7:00,13:49
2024/10/26,1:02,7:46,14:25
2024/10/27,1:55,8:29,14:58
2024/10/28,2:45,9:09,15:28
2024/10/29,3:34,9:48,15:57
2024/10/30,4:23,10:27,16:26
2024/10/31,5:12,11:06,16:56
2024/11/1,6:02,11:47,17:29
2024/11/2,6:55,12:31,18:05
2024/11/3,7:50,13:19,18:45
2024/11/4,8:46,14:10,19:31
2024/11/5,9:43,15:04,20:23
2024/11/6,10:39,15:59,21:20
2024/11/7,11:32,16:55,22:21
2024/11/8,12:20,17:49,23:22
2024/11/9,13:04,18:42,
2024/11/10,13:44,19:32,0:24
2024/11/11,14:22,20:21,1:25
2024/11/12,14:59,21:10,2:26
2024/11/13,15:37,22:00,3:27
2024/11/14,16:17,22:54,4:31
2024/11/15,17:01,23:51,5:37
2024/11/16,17:51,,6:46
2024/11/17,18:47,0:51,7:55
2024/11/18,19:48,1:54,9:03
2024/11/19,20:51,2:57,10:04
2024/11/20,21:53,3:56,10:58
2024/11/21,22:52,4:51,11:44
2024/11/22,23:47,5:40,12:23
2024/11/23,,6:25,12:58
2024/11/24,0:39,7:07,13:29
2024/11/25,1:29,7:46,13:58
2024/11/26,2:18,8:25,14:27
2024/11/27,3:06,9:04,14:57
2024/11/28,3:56,9:45,15:29
2024/11/29,4:48,10:28,16:04
2024/11/30,5:42,11:14,16:43
2024/12/1,6:39,12:05,17:28
2024/12/2,7:37,12:58,18:19
2024/12/3,8:34,13:54,19:15
2024/12/4,9:29,14:51,20:15
2024/12/5,10:18,15:46,21:17
2024/12/6,11:03,16:38,22:18
2024/12/7,11:44,17:28,23:18
2024/12/8,12:21,18:16,
2024/12/9,12:57,19:04,0:17
2024/12/10,13:33,19:52,1:16
2024/12/11,14:11,20:42,2:16
2024/12/12,14:52,21:35,3:19
2024/12/13,15:38,22:32,4:24
2024/12/14,16:30,23:34,5:32
2024/12/15,17:29,,6:40
2024/12/16,18:31,0:37,7:45
2024/12/17,19:35,1:39,8:43
2024/12/18,20:37,2:37,9:34
2024/12/19,21:35,3:30,10:17
2024/12/20,22:30,4:18,10:54
2024/12/21,23:21,5:01,11:27
2024/12/22,,5:42,11:58
2024/12/23,0:11,6:21,12:27
2024/12/24,0:59,7:00,12:57
2024/12/25,1:49,7:40,13:27
2024/12/26,2:39,8:22,14:01
2024/12/27,3:33,9:07,14:38
2024/12/28,4:28,9:56,15:21
2024/12/29,5:26,10:49,16:10
2024/12/30,6:24,11:45,17:05
2024/12/31,7:21,12:42,18:05
